image_filename,box_id,bbox,yolo_confidence,predicted_class_id,predicted_class_name,classifier_confidence
VAIPE_P_100_0.jpg,0,"[1095, 1522, 2005, 1945]",0.2629,43,43,1.0
VAIPE_P_100_1.jpg,0,"[877, 1830, 1327, 2246]",0.6326,57,57,0.8
VAIPE_P_100_1.jpg,1,"[1727, 1805, 2169, 2444]",0.5824,29,29,0.4
VAIPE_P_100_1.jpg,2,"[1269, 1657, 1715, 2260]",0.553,99,99,1.0
VAIPE_P_100_2.jpg,-1,,,,NO_DETECTION,
VAIPE_P_100_3.jpg,0,"[2051, 1753, 2750, 2875]",0.8838,68,68,1.0
VAIPE_P_100_3.jpg,1,"[1031, 484, 1997, 1201]",0.8508,16,16,0.8
VAIPE_P_100_3.jpg,2,"[2444, 381, 3268, 1137]",0.8179,10,10,0.8
VAIPE_P_100_3.jpg,3,"[2655, 1287, 3224, 1862]",0.714,51,51,1.0
VAIPE_P_101_0.jpg,0,"[713, 1337, 1452, 1878]",0.8862,91,91,1.0
VAIPE_P_101_0.jpg,1,"[457, 612, 1354, 1360]",0.8732,43,43,1.0
VAIPE_P_101_0.jpg,2,"[450, 2056, 1404, 2628]",0.7821,43,43,1.0
VAIPE_P_102_0.jpg,0,"[1150, 1599, 2138, 2023]",0.8733,43,43,1.0
VAIPE_P_102_0.jpg,1,"[785, 2180, 1759, 2667]",0.873,43,43,1.0
VAIPE_P_103_0.jpg,0,"[1471, 2124, 2336, 2720]",0.8822,91,91,1.0
VAIPE_P_103_0.jpg,1,"[533, 2298, 1366, 3015]",0.8821,91,91,1.0
VAIPE_P_103_0.jpg,2,"[1253, 2846, 1598, 3200]",0.8705,30,30,1.0
VAIPE_P_103_1.jpg,-1,,,,NO_DETECTION,
VAIPE_P_103_2.jpg,0,"[1391, 804, 1698, 1116]",0.2757,39,39,0.6
VAIPE_P_103_3.jpg,0,"[1931, 2249, 2601, 2939]",0.873,91,91,1.0
VAIPE_P_103_3.jpg,1,"[988, 1992, 1682, 2534]",0.8657,91,91,1.0
VAIPE_P_103_3.jpg,2,"[1140, 2506, 1464, 2821]",0.8071,30,30,1.0
VAIPE_P_103_4.jpg,0,"[1564, 1630, 2215, 2238]",0.5318,91,91,1.0
VAIPE_P_103_4.jpg,1,"[915, 2082, 1546, 2758]",0.3247,91,91,1.0
VAIPE_P_103_5.jpg,0,"[1267, 2836, 1849, 3429]",0.9048,91,91,1.0
VAIPE_P_103_5.jpg,1,"[1479, 3027, 2078, 3640]",0.9012,91,91,1.0
VAIPE_P_103_5.jpg,2,"[1461, 2429, 1762, 2738]",0.8461,30,30,1.0
VAIPE_P_103_6.jpg,-1,,,,NO_DETECTION,
VAIPE_P_103_7.jpg,0,"[1279, 2172, 1836, 2555]",0.8614,91,91,1.0
VAIPE_P_103_7.jpg,1,"[1509, 2427, 1931, 3033]",0.7485,91,91,1.0
VAIPE_P_103_8.jpg,0,"[1270, 634, 2039, 1584]",0.9084,89,89,0.6
VAIPE_P_103_8.jpg,1,"[1541, 1467, 2044, 1971]",0.8856,73,73,0.4
VAIPE_P_103_8.jpg,2,"[1243, 1483, 1653, 2031]",0.8658,83,83,0.6
VAIPE_P_103_8.jpg,3,"[1014, 2134, 1407, 2537]",0.8529,70,70,1.0
VAIPE_P_103_9.jpg,0,"[1687, 1155, 2199, 1512]",0.8989,37,37,1.0
VAIPE_P_103_9.jpg,1,"[2573, 1154, 3250, 1747]",0.8846,99,99,1.0
VAIPE_P_103_9.jpg,2,"[1065, 1409, 1597, 1793]",0.8833,29,29,1.0
VAIPE_P_103_9.jpg,3,"[2184, 1936, 2528, 2277]",0.8789,30,30,1.0
VAIPE_P_103_9.jpg,4,"[1785, 579, 2432, 1012]",0.8551,96,96,0.8
VAIPE_P_103_9.jpg,5,"[1295, 2527, 1698, 2922]",0.8434,30,30,1.0
VAIPE_P_104_0.jpg,0,"[722, 1602, 1114, 2001]",0.873,65,65,1.0
VAIPE_P_104_0.jpg,1,"[1512, 2028, 1916, 2439]",0.8708,65,65,1.0
VAIPE_P_104_0.jpg,2,"[1348, 1138, 1949, 1553]",0.8273,79,79,1.0
VAIPE_P_104_1.jpg,0,"[966, 1769, 1346, 2173]",0.8893,65,65,1.0
VAIPE_P_104_1.jpg,1,"[1553, 1400, 1946, 1807]",0.8858,65,65,1.0
VAIPE_P_104_1.jpg,2,"[1409, 1960, 1887, 2502]",0.8777,79,79,1.0
VAIPE_P_104_2.jpg,0,"[1923, 2363, 2462, 2929]",0.7955,81,81,1.0
VAIPE_P_104_2.jpg,1,"[1583, 1815, 2024, 2250]",0.7933,51,51,1.0
VAIPE_P_104_2.jpg,2,"[2842, 2101, 3400, 2662]",0.7668,78,78,1.0
VAIPE_P_104_2.jpg,3,"[2562, 1173, 3012, 1609]",0.7405,51,51,1.0
VAIPE_P_104_2.jpg,4,"[883, 769, 1696, 1518]",0.6946,106,106,1.0
VAIPE_P_104_2.jpg,5,"[2073, 228, 2709, 872]",0.5253,36,36,1.0
VAIPE_P_104_3.jpg,0,"[1210, 1504, 2061, 2183]",0.8995,89,89,1.0
VAIPE_P_104_3.jpg,1,"[2764, 1169, 3676, 2060]",0.8994,79,79,1.0
VAIPE_P_104_3.jpg,2,"[2198, 520, 2939, 1150]",0.8304,97,97,1.0
VAIPE_P_104_3.jpg,3,"[882, 385, 1541, 1050]",0.8149,51,51,1.0
VAIPE_P_104_4.jpg,0,"[2568, 724, 3880, 1628]",0.8929,16,16,1.0
VAIPE_P_104_4.jpg,1,"[2367, 2034, 3025, 2686]",0.8629,36,36,1.0
VAIPE_P_104_4.jpg,2,"[1823, 1395, 2330, 1908]",0.8161,74,74,1.0
VAIPE_P_104_4.jpg,3,"[548, 1123, 1261, 1815]",0.749,51,51,0.6
VAIPE_P_105_0.jpg,0,"[1779, 930, 2337, 1885]",0.8648,2,2,1.0
VAIPE_P_105_0.jpg,1,"[289, 616, 763, 1685]",0.8586,19,19,0.8
VAIPE_P_105_0.jpg,2,"[798, 733, 1805, 1403]",0.8451,19,19,1.0
VAIPE_P_105_0.jpg,3,"[1021, 1719, 1929, 2185]",0.8116,2,2,1.0
VAIPE_P_105_1.jpg,-1,,,,NO_DETECTION,
VAIPE_P_106_0.jpg,0,"[1205, 1902, 1957, 2416]",0.8379,99,99,1.0
VAIPE_P_106_0.jpg,1,"[912, 2133, 1472, 2654]",0.7159,103,103,1.0
VAIPE_P_106_1.jpg,0,"[1020, 1651, 1572, 2261]",0.4624,103,103,1.0
VAIPE_P_106_2.jpg,-1,,,,NO_DETECTION,
VAIPE_P_106_3.jpg,-1,,,,NO_DETECTION,
VAIPE_P_106_4.jpg,-1,,,,NO_DETECTION,
VAIPE_P_106_5.jpg,-1,,,,NO_DETECTION,
VAIPE_P_106_6.jpg,-1,,,,NO_DETECTION,
VAIPE_P_106_7.jpg,-1,,,,NO_DETECTION,
VAIPE_P_106_8.jpg,-1,,,,NO_DETECTION,
VAIPE_P_106_9.jpg,0,"[1256, 380, 1874, 1154]",0.8043,91,91,1.0
VAIPE_P_106_9.jpg,1,"[2379, 1269, 3114, 1888]",0.7404,17,17,0.6
VAIPE_P_106_9.jpg,2,"[1733, 1434, 2367, 2621]",0.7109,104,104,1.0
VAIPE_P_106_9.jpg,3,"[2691, 266, 3127, 708]",0.5068,51,51,1.0
VAIPE_P_106_9.jpg,4,"[2064, 514, 2459, 924]",0.4193,51,51,1.0
VAIPE_P_107_0.jpg,0,"[890, 2687, 1539, 3299]",0.9126,89,89,1.0
VAIPE_P_107_0.jpg,1,"[1515, 1583, 1928, 1977]",0.9118,51,51,1.0
VAIPE_P_107_0.jpg,2,"[517, 1684, 1248, 2041]",0.909,89,89,1.0
VAIPE_P_107_0.jpg,3,"[1083, 2025, 1774, 2682]",0.9083,61,61,1.0
VAIPE_P_107_0.jpg,4,"[905, 2280, 1625, 2955]",0.9066,61,61,1.0
VAIPE_P_107_0.jpg,5,"[1570, 2006, 1980, 2415]",0.9064,51,51,1.0
VAIPE_P_107_1.jpg,0,"[1666, 1844, 2480, 2547]",0.9096,61,61,1.0
VAIPE_P_107_1.jpg,1,"[1549, 2409, 2000, 2861]",0.8959,51,51,1.0
VAIPE_P_107_1.jpg,2,"[1832, 1003, 2237, 1883]",0.8958,61,61,1.0
VAIPE_P_107_1.jpg,3,"[775, 1380, 1218, 1806]",0.8948,51,51,1.0
VAIPE_P_107_1.jpg,4,"[1476, 1172, 1851, 1919]",0.8856,89,89,0.8
VAIPE_P_107_1.jpg,5,"[497, 2022, 989, 2778]",0.8806,89,89,1.0
VAIPE_P_107_2.jpg,0,"[2766, 786, 3416, 1409]",0.893,7,7,1.0
VAIPE_P_107_2.jpg,1,"[1261, 1694, 2318, 2377]",0.8915,16,16,1.0
VAIPE_P_107_2.jpg,2,"[1720, 962, 2346, 1654]",0.8884,50,50,1.0
VAIPE_P_107_2.jpg,3,"[2003, 432, 2363, 790]",0.8539,51,51,1.0
VAIPE_P_107_2.jpg,4,"[1165, 632, 1507, 962]",0.852,51,51,1.0
VAIPE_P_107_3.jpg,0,"[1160, 1367, 1497, 1844]",0.915,83,83,1.0
VAIPE_P_107_3.jpg,1,"[761, 714, 1104, 1172]",0.902,83,83,1.0
VAIPE_P_107_3.jpg,2,"[1132, 1019, 1445, 1331]",0.9009,30,30,0.4
VAIPE_P_107_3.jpg,3,"[726, 1751, 1327, 2068]",0.8768,89,89,1.0
VAIPE_P_107_3.jpg,4,"[882, 1216, 1198, 1532]",0.7897,59,59,1.0
VAIPE_P_107_4.jpg,0,"[1644, 1766, 1915, 2035]",0.8325,45,45,1.0
VAIPE_P_107_4.jpg,1,"[799, 2223, 1338, 2683]",0.5109,0,0,1.0
VAIPE_P_107_4.jpg,2,"[1147, 1844, 1645, 2355]",0.3004,101,101,1.0
VAIPE_P_107_4.jpg,3,"[1018, 1590, 1688, 1932]",0.26,87,87,1.0
VAIPE_P_108_0.jpg,0,"[955, 2410, 1539, 2763]",0.7032,8,8,1.0
VAIPE_P_108_1.jpg,0,"[2097, 1244, 2542, 1702]",0.7845,60,60,0.6
VAIPE_P_108_1.jpg,1,"[1213, 1823, 2021, 2382]",0.6608,89,89,1.0
VAIPE_P_108_1.jpg,2,"[2351, 498, 2810, 910]",0.5187,29,29,0.4
VAIPE_P_108_2.jpg,0,"[2672, 1484, 3293, 2090]",0.8628,51,51,1.0
VAIPE_P_108_2.jpg,1,"[1611, 1851, 2322, 2567]",0.8614,51,51,1.0
VAIPE_P_108_2.jpg,2,"[2131, 739, 2873, 1471]",0.8388,51,51,1.0
VAIPE_P_108_2.jpg,3,"[1506, 791, 2048, 1329]",0.6942,100,100,1.0
VAIPE_P_108_2.jpg,4,"[1082, 1308, 1624, 1847]",0.5422,37,37,0.6
VAIPE_P_108_2.jpg,5,"[514, 1434, 1058, 1967]",0.5089,6,6,0.6
VAIPE_P_108_3.jpg,0,"[763, 368, 1281, 892]",0.2556,59,59,0.6
VAIPE_P_109_0.jpg,0,"[673, 2396, 1751, 2955]",0.8988,10,10,1.0
VAIPE_P_109_0.jpg,1,"[1148, 1695, 1829, 2517]",0.8904,60,60,1.0
VAIPE_P_109_1.jpg,0,"[1077, 2079, 1638, 2471]",0.9075,60,60,1.0
VAIPE_P_109_1.jpg,1,"[1264, 2487, 1983, 2896]",0.8978,10,10,1.0
VAIPE_P_109_2.jpg,0,"[803, 2338, 1731, 3013]",0.9032,10,10,1.0
VAIPE_P_109_2.jpg,1,"[1017, 2118, 2006, 2559]",0.8779,10,10,1.0
VAIPE_P_109_2.jpg,2,"[889, 1718, 1728, 2165]",0.8745,60,60,1.0
VAIPE_P_109_3.jpg,0,"[1229, 1364, 1713, 1900]",0.8846,60,60,1.0
VAIPE_P_109_3.jpg,1,"[1068, 1879, 1526, 2624]",0.8632,10,10,1.0
VAIPE_P_109_4.jpg,0,"[889, 1902, 1608, 2238]",0.8883,10,10,1.0
VAIPE_P_109_4.jpg,1,"[1036, 1576, 1627, 1923]",0.875,60,60,1.0
VAIPE_P_109_5.jpg,0,"[1741, 1710, 2150, 2396]",0.9147,10,10,1.0
VAIPE_P_109_5.jpg,1,"[1396, 1740, 1802, 2276]",0.9009,60,60,1.0
VAIPE_P_109_5.jpg,2,"[1533, 2435, 2266, 2743]",0.8892,10,10,1.0
VAIPE_P_109_6.jpg,0,"[1420, 1271, 1782, 1632]",0.8533,51,51,1.0
VAIPE_P_109_6.jpg,1,"[1900, 1218, 2163, 1618]",0.8435,37,37,1.0
VAIPE_P_109_6.jpg,2,"[2190, 1588, 2523, 1921]",0.8385,57,57,0.8
VAIPE_P_109_6.jpg,3,"[2180, 1215, 2516, 1537]",0.8274,51,51,1.0
VAIPE_P_109_6.jpg,4,"[1615, 1562, 2044, 1832]",0.8246,29,29,0.4
VAIPE_P_109_7.jpg,0,"[2596, 853, 3505, 1566]",0.8807,48,48,1.0
VAIPE_P_109_7.jpg,1,"[1929, 2310, 2652, 3022]",0.8739,57,57,0.4
VAIPE_P_109_7.jpg,2,"[1762, 731, 2216, 1197]",0.8243,81,81,0.8
VAIPE_P_109_7.jpg,3,"[2152, 1487, 2538, 1862]",0.8233,51,51,1.0
VAIPE_P_109_7.jpg,4,"[1507, 168, 1896, 544]",0.7058,51,51,0.8
VAIPE_P_109_8.jpg,0,"[353, 1829, 1188, 2675]",0.9092,100,100,1.0
VAIPE_P_109_8.jpg,1,"[648, 3027, 1477, 3901]",0.9025,100,100,1.0
VAIPE_P_109_8.jpg,2,"[1103, 1986, 1811, 2770]",0.876,100,100,1.0
VAIPE_P_109_8.jpg,3,"[1088, 1282, 1871, 2047]",0.8725,100,100,1.0
VAIPE_P_109_8.jpg,4,"[1613, 2246, 2168, 2827]",0.8392,54,54,1.0
VAIPE_P_10_0.jpg,0,"[937, 1552, 1600, 2147]",0.8597,54,54,1.0
VAIPE_P_10_1.jpg,0,"[575, 1249, 1220, 1877]",0.8566,56,56,0.6
VAIPE_P_10_1.jpg,1,"[1315, 1665, 1704, 2334]",0.8119,10,10,1.0
VAIPE_P_10_1.jpg,2,"[1498, 1757, 1924, 2447]",0.8003,10,10,1.0
VAIPE_P_10_1.jpg,3,"[1010, 1910, 1347, 2704]",0.6883,10,10,0.6
VAIPE_P_10_1.jpg,4,"[1316, 2380, 1701, 3212]",0.2594,24,24,0.8
VAIPE_P_10_2.jpg,-1,,,,NO_DETECTION,
VAIPE_P_110_0.jpg,0,"[2023, 1494, 2724, 1797]",0.6523,104,104,1.0
VAIPE_P_110_0.jpg,1,"[420, 2349, 749, 2679]",0.5699,72,72,1.0
VAIPE_P_110_1.jpg,-1,,,,NO_DETECTION,
VAIPE_P_110_10.jpg,0,"[1428, 1823, 2861, 2481]",0.4748,104,104,1.0
VAIPE_P_110_11.jpg,0,"[956, 1448, 1748, 1997]",0.6484,104,104,1.0
VAIPE_P_110_12.jpg,0,"[2345, 1821, 2817, 2285]",0.8867,30,30,1.0
VAIPE_P_110_12.jpg,1,"[2803, 1068, 3302, 1537]",0.859,30,30,1.0
VAIPE_P_110_12.jpg,2,"[1573, 2307, 2038, 2789]",0.8527,51,51,1.0
VAIPE_P_110_12.jpg,3,"[1904, 527, 2776, 1034]",0.8284,92,92,1.0
VAIPE_P_110_12.jpg,4,"[1668, 1354, 2081, 1769]",0.8199,72,72,1.0
VAIPE_P_110_12.jpg,5,"[1015, 367, 1615, 1066]",0.488,61,61,1.0
VAIPE_P_110_13.jpg,0,"[2091, 2360, 2594, 2875]",0.7636,28,28,0.4
VAIPE_P_110_13.jpg,1,"[1773, 1463, 2232, 1909]",0.6854,4,4,0.6
VAIPE_P_110_13.jpg,2,"[2811, 846, 3667, 1756]",0.6556,87,87,0.8
VAIPE_P_110_13.jpg,3,"[1225, 755, 1744, 1273]",0.5989,64,64,1.0
VAIPE_P_110_13.jpg,4,"[2258, 295, 2779, 820]",0.5673,44,44,1.0
VAIPE_P_110_14.jpg,0,"[671, 2102, 1277, 2699]",0.8896,32,32,1.0
VAIPE_P_110_14.jpg,1,"[1378, 2331, 2009, 2903]",0.8415,56,56,1.0
VAIPE_P_110_14.jpg,2,"[406, 3148, 1066, 3681]",0.8266,20,20,1.0
VAIPE_P_110_14.jpg,3,"[801, 2797, 1303, 3433]",0.5325,20,20,1.0
VAIPE_P_110_2.jpg,-1,,,,NO_DETECTION,
VAIPE_P_110_3.jpg,0,"[1560, 1676, 2450, 2644]",0.6617,104,104,1.0
VAIPE_P_110_3.jpg,1,"[900, 1860, 1254, 2368]",0.6483,72,72,1.0
VAIPE_P_110_4.jpg,0,"[901, 2336, 2391, 3214]",0.8837,104,104,1.0
VAIPE_P_110_5.jpg,-1,,,,NO_DETECTION,
VAIPE_P_110_6.jpg,0,"[1297, 2218, 2216, 3349]",0.4132,104,104,1.0
VAIPE_P_110_7.jpg,0,"[1349, 2208, 2133, 3285]",0.6229,104,104,0.8
VAIPE_P_110_8.jpg,0,"[865, 1497, 1644, 2051]",0.6825,104,104,1.0
VAIPE_P_110_9.jpg,0,"[1594, 2118, 1817, 2552]",0.7799,72,72,1.0
VAIPE_P_110_9.jpg,1,"[1239, 1811, 1660, 2751]",0.627,104,104,1.0
VAIPE_P_111_0.jpg,0,"[634, 1941, 1118, 2418]",0.8918,40,40,1.0
VAIPE_P_111_0.jpg,1,"[1336, 2044, 1792, 2518]",0.8812,40,40,1.0
VAIPE_P_111_1.jpg,0,"[1661, 1984, 2104, 2431]",0.8426,40,40,1.0
VAIPE_P_111_1.jpg,1,"[733, 1351, 1183, 1805]",0.8043,40,40,1.0
VAIPE_P_112_0.jpg,0,"[2081, 957, 2923, 1488]",0.6407,19,19,1.0
VAIPE_P_112_0.jpg,1,"[719, 2246, 1134, 2561]",0.4516,73,73,1.0
VAIPE_P_112_0.jpg,2,"[768, 2513, 1214, 2858]",0.4488,73,73,1.0
VAIPE_P_112_0.jpg,3,"[1268, 1632, 1889, 2194]",0.4102,89,89,1.0
VAIPE_P_112_0.jpg,4,"[1037, 2030, 1382, 2383]",0.3058,59,59,1.0
VAIPE_P_112_1.jpg,-1,,,,NO_DETECTION,
VAIPE_P_112_2.jpg,-1,,,,NO_DETECTION,
VAIPE_P_112_3.jpg,0,"[1240, 1961, 1575, 2361]",0.8849,73,73,0.8
VAIPE_P_112_3.jpg,1,"[1355, 1312, 1913, 2135]",0.8823,104,104,1.0
VAIPE_P_112_3.jpg,2,"[2183, 2097, 2859, 2704]",0.877,89,89,1.0
VAIPE_P_112_3.jpg,3,"[274, 1266, 1029, 1863]",0.8649,19,19,1.0
VAIPE_P_112_3.jpg,4,"[1899, 2022, 2240, 2360]",0.8636,59,59,1.0
VAIPE_P_112_3.jpg,5,"[822, 2199, 1195, 2604]",0.8394,73,73,1.0
VAIPE_P_112_3.jpg,6,"[995, 1193, 1494, 1967]",0.7971,19,19,1.0
VAIPE_P_112_3.jpg,7,"[521, 2475, 892, 2845]",0.529,59,59,1.0
VAIPE_P_113_0.jpg,-1,,,,NO_DETECTION,
VAIPE_P_113_1.jpg,-1,,,,NO_DETECTION,
VAIPE_P_113_10.jpg,0,"[1291, 2058, 1823, 2500]",0.286,79,79,0.8
VAIPE_P_113_11.jpg,0,"[1518, 1912, 2450, 2888]",0.8918,20,20,1.0
VAIPE_P_113_11.jpg,1,"[1047, 1255, 1903, 1903]",0.8371,97,97,1.0
VAIPE_P_113_11.jpg,2,"[1162, 113, 1868, 843]",0.8146,51,51,1.0
VAIPE_P_113_11.jpg,3,"[2112, 383, 2561, 824]",0.7268,51,51,1.0
VAIPE_P_113_11.jpg,4,"[2918, 1224, 3373, 1657]",0.7097,51,51,1.0
VAIPE_P_113_2.jpg,0,"[1375, 2193, 1719, 2551]",0.8882,64,64,1.0
VAIPE_P_113_2.jpg,1,"[841, 1976, 1215, 2337]",0.8774,64,64,1.0
VAIPE_P_113_2.jpg,2,"[644, 2287, 1238, 2605]",0.8772,79,79,1.0
VAIPE_P_113_2.jpg,3,"[1672, 2163, 1949, 2422]",0.8558,31,31,1.0
VAIPE_P_113_3.jpg,0,"[1452, 1930, 1810, 2314]",0.8268,64,64,1.0
VAIPE_P_113_3.jpg,1,"[854, 1849, 1233, 2234]",0.8229,64,64,1.0
VAIPE_P_113_3.jpg,2,"[1200, 1770, 1487, 2292]",0.8171,79,79,1.0
VAIPE_P_113_4.jpg,0,"[1154, 1949, 1597, 2442]",0.8113,64,64,1.0
VAIPE_P_113_4.jpg,1,"[1177, 2448, 1707, 2842]",0.7689,64,64,1.0
VAIPE_P_113_5.jpg,0,"[1208, 1414, 1588, 1755]",0.5658,79,79,1.0
VAIPE_P_113_5.jpg,1,"[1403, 1611, 1728, 1963]",0.255,64,64,1.0
VAIPE_P_113_6.jpg,0,"[1148, 1874, 1565, 2289]",0.3586,64,64,1.0
VAIPE_P_113_7.jpg,0,"[1014, 1824, 1392, 2202]",0.8284,64,64,1.0
VAIPE_P_113_7.jpg,1,"[1410, 1685, 1855, 2111]",0.7182,79,79,1.0
VAIPE_P_113_7.jpg,2,"[1207, 2200, 1609, 2616]",0.6532,64,64,1.0
VAIPE_P_113_8.jpg,-1,,,,NO_DETECTION,
VAIPE_P_113_9.jpg,0,"[744, 2171, 1242, 2665]",0.8831,64,64,1.0
VAIPE_P_113_9.jpg,1,"[1297, 1808, 1746, 2266]",0.8759,64,64,1.0
VAIPE_P_113_9.jpg,2,"[796, 1674, 1168, 1992]",0.8647,31,31,1.0
VAIPE_P_113_9.jpg,3,"[1679, 1853, 2122, 2485]",0.8437,79,79,1.0
VAIPE_P_114_0.jpg,-1,,,,NO_DETECTION,
VAIPE_P_114_1.jpg,-1,,,,NO_DETECTION,
VAIPE_P_114_2.jpg,0,"[1243, 1642, 2085, 2053]",0.8377,43,43,1.0
VAIPE_P_114_2.jpg,1,"[1161, 2091, 1622, 2381]",0.8357,75,75,1.0
VAIPE_P_114_2.jpg,2,"[906, 1849, 1247, 2246]",0.6467,75,75,1.0
VAIPE_P_114_2.jpg,3,"[817, 2317, 1789, 2772]",0.3639,43,43,1.0
VAIPE_P_114_3.jpg,0,"[2132, 2088, 2852, 2843]",0.8567,40,40,1.0
VAIPE_P_114_3.jpg,1,"[1850, 1070, 2833, 1708]",0.818,104,104,1.0
VAIPE_P_114_3.jpg,2,"[865, 1194, 1841, 1975]",0.7593,91,91,1.0
VAIPE_P_114_3.jpg,3,"[3264, 929, 3744, 1391]",0.7209,51,51,1.0
VAIPE_P_114_3.jpg,4,"[2205, 45, 2618, 464]",0.713,51,51,1.0
VAIPE_P_114_4.jpg,0,"[443, 323, 530, 411]",0.839,99,99,0.6
VAIPE_P_114_4.jpg,1,"[342, 364, 416, 435]",0.8027,46,46,1.0
VAIPE_P_114_4.jpg,2,"[260, 264, 426, 347]",0.5467,26,26,1.0
VAIPE_P_114_4.jpg,3,"[392, 153, 477, 240]",0.4719,11,11,1.0
VAIPE_P_114_5.jpg,0,"[870, 1114, 1927, 2117]",0.8681,106,106,1.0
VAIPE_P_114_5.jpg,1,"[1406, 2520, 1782, 2892]",0.8662,73,73,1.0
VAIPE_P_114_5.jpg,2,"[1620, 2152, 2009, 2586]",0.859,31,31,1.0
VAIPE_P_114_5.jpg,3,"[1028, 2020, 1431, 2444]",0.8473,31,31,1.0
VAIPE_P_115_0.jpg,-1,,,,NO_DETECTION,
VAIPE_P_115_1.jpg,0,"[2272, 917, 2601, 1545]",0.8818,91,91,1.0
VAIPE_P_115_1.jpg,1,"[2340, 1618, 3097, 2170]",0.8452,43,43,1.0
VAIPE_P_115_2.jpg,-1,,,,NO_DETECTION,
VAIPE_P_115_3.jpg,0,"[927, 1915, 1234, 2223]",0.8873,31,31,1.0
VAIPE_P_115_3.jpg,1,"[756, 1679, 1017, 2014]",0.8828,14,14,1.0
VAIPE_P_115_3.jpg,2,"[1318, 1831, 1634, 2156]",0.873,36,36,1.0
VAIPE_P_115_4.jpg,0,"[1150, 1011, 1566, 1455]",0.3314,40,40,0.8
VAIPE_P_116_0.jpg,0,"[1302, 1887, 1698, 2549]",0.8358,56,56,1.0
VAIPE_P_116_1.jpg,0,"[1217, 1769, 1817, 2318]",0.9079,56,56,1.0
VAIPE_P_116_2.jpg,0,"[1463, 1517, 2051, 2162]",0.832,26,26,1.0
VAIPE_P_116_2.jpg,1,"[1217, 1630, 1592, 2298]",0.8207,10,10,1.0
VAIPE_P_116_2.jpg,2,"[861, 1769, 1310, 2583]",0.7188,10,10,1.0
VAIPE_P_116_2.jpg,3,"[1191, 2155, 1673, 2972]",0.6956,24,24,1.0
VAIPE_P_117_0.jpg,0,"[1030, 1816, 1464, 2252]",0.9014,54,54,1.0
VAIPE_P_117_0.jpg,1,"[1649, 2055, 2186, 2438]",0.8754,38,38,1.0
VAIPE_P_117_0.jpg,2,"[1350, 2129, 1587, 2370]",0.8494,46,46,1.0
VAIPE_P_117_1.jpg,0,"[805, 1847, 1312, 2357]",0.9006,54,54,1.0
VAIPE_P_117_1.jpg,1,"[1393, 1923, 1971, 2384]",0.886,38,38,1.0
VAIPE_P_117_1.jpg,2,"[1341, 1800, 1612, 2081]",0.8558,46,46,1.0
VAIPE_P_117_2.jpg,0,"[1139, 1735, 1700, 2244]",0.9034,54,54,1.0
VAIPE_P_117_3.jpg,0,"[1361, 1748, 1825, 2353]",0.9024,38,38,1.0
VAIPE_P_117_3.jpg,1,"[939, 1978, 1505, 2500]",0.8979,54,54,1.0
VAIPE_P_117_3.jpg,2,"[1372, 2326, 1669, 2605]",0.8785,46,46,1.0
VAIPE_P_117_4.jpg,-1,,,,NO_DETECTION,
